job_title,experience_level,Salary,company_location,company_size,Year,over_100K,over_150K
Data Engineer,2,210000,United States,1,2023,1,1
Data Engineer,2,165000,United States,1,2023,1,1
Data Engineer,2,185900,United States,1,2023,1,1
Data Engineer,2,129300,United States,1,2023,1,0
Data Scientist,2,140000,United States,1,2023,1,0
Data Scientist,2,126000,United States,1,2023,1,0
Data Scientist,2,170000,United States,1,2023,1,1
Data Scientist,2,130000,United States,1,2023,1,0
Analytics Engineer,2,208500,United States,1,2023,1,1
Analytics Engineer,2,165000,United States,1,2023,1,1
Other,2,169000,United States,1,2023,1,1
Other,2,110600,United States,1,2023,1,0
Data Scientist,2,185900,United States,1,2023,1,1
Data Scientist,2,129300,United States,1,2023,1,0
Data Scientist,2,225000,United States,1,2023,1,1
Data Scientist,2,156400,United States,1,2023,1,1
Machine Learning Engineer,2,309000,United States,1,2023,1,1
Machine Learning Engineer,2,142000,United States,1,2023,1,0
Data Analyst,2,204500,United States,1,2023,1,1
Data Analyst,2,138900,United States,1,2023,1,0
Machine Learning Engineer,2,323300,United States,1,2023,1,1
Machine Learning Engineer,2,184700,United States,1,2023,1,1
Machine Learning Engineer,2,247500,United States,1,2023,1,1
Machine Learning Engineer,2,172200,United States,1,2023,1,1
Other,2,204500,United States,1,2023,1,1
Other,2,142200,United States,1,2023,1,0
Other,2,135000,United States,1,2023,1,0
Other,2,110000,United States,1,2023,1,0
Other,2,118800,United States,1,2023,1,0
Other,2,75000,United States,1,2023,0,0
Other,2,145000,United States,1,2023,1,0
Other,2,130000,United States,1,2023,1,0
Machine Learning Engineer,2,193600,United States,1,2023,1,1
Machine Learning Engineer,2,119700,United States,1,2023,1,0
Other,2,130800,United States,1,2023,1,0
Other,2,87200,United States,1,2023,0,0
Data Engineer,2,215000,United States,1,2023,1,1
Data Engineer,2,150000,United States,1,2023,1,1
Other,3,247500,United States,1,2023,1,1
Other,3,172200,United States,1,2023,1,1
Machine Learning Engineer,2,204500,United States,1,2023,1,1
Machine Learning Engineer,2,142200,United States,1,2023,1,0
Data Analyst,2,169000,United States,1,2023,1,1
Data Analyst,2,110600,United States,1,2023,1,0
Other,2,238000,United States,1,2023,1,1
Other,2,173000,United States,1,2023,1,1
Other,2,225000,United States,1,2023,1,1
Other,2,156400,United States,1,2023,1,1
Data Science Manager,2,299500,United States,1,2023,1,1
Data Science Manager,2,245100,United States,1,2023,1,1
Data Scientist,2,153600,United States,1,2023,1,1
Data Scientist,2,106800,United States,1,2023,1,0
Data Scientist,1,125000,United States,1,2023,1,0
Data Scientist,1,90000,United States,1,2023,0,0
Other,2,290000,United States,1,2023,1,1
Other,2,226000,United States,1,2023,1,1
Other,2,222200,United States,2,2023,1,1
Other,2,136000,United States,2,2023,1,0
Data Scientist,2,161000,United States,1,2023,1,1
Data Scientist,2,151000,United States,1,2023,1,1
Data Engineer,2,136994,United States,1,2023,1,0
Data Engineer,2,101570,United States,1,2023,1,0
Data Scientist,2,214500,United States,1,2023,1,1
Data Scientist,2,150000,United States,1,2023,1,1
Analytics Engineer,2,150000,United States,1,2023,1,1
Analytics Engineer,2,120000,United States,1,2023,1,0
Data Engineer,2,278300,United States,1,2023,1,1
Data Engineer,2,205700,United States,1,2023,1,1
Other,2,185900,United States,1,2023,1,1
Other,2,167310,United States,1,2023,1,1
Data Engineer,1,114000,United States,1,2023,1,0
Data Engineer,1,100000,United States,1,2023,1,0
Other,2,260000,United States,2,2023,1,1
Data Engineer,2,162000,United States,1,2023,1,1
Data Engineer,2,111000,United States,1,2023,1,0
Data Engineer,2,225500,United States,1,2023,1,1
Data Engineer,2,139400,United States,1,2023,1,0
Other,1,177000,United States,1,2023,1,1
Other,1,110000,United States,1,2023,1,0
Data Analyst,2,120350,United States,1,2023,1,0
Data Analyst,2,74400,United States,1,2023,0,0
Data Engineer,2,194000,United States,1,2023,1,1
Data Engineer,2,161000,United States,1,2023,1,1
Machine Learning Engineer,2,184950,United States,1,2023,1,1
Machine Learning Engineer,2,119250,United States,1,2023,1,0
Data Engineer,2,178500,United States,1,2023,1,1
Data Engineer,2,136000,United States,1,2023,1,0
Machine Learning Engineer,2,189000,United States,1,2023,1,1
Machine Learning Engineer,2,159090,United States,1,2023,1,1
Data Engineer,1,91000,United States,1,2023,0,0
Data Engineer,1,82000,United States,1,2023,0,0
Data Engineer,2,149076,United States,1,2023,1,0
Data Engineer,2,82365,United States,1,2023,0,0
Other,2,192000,United States,1,2023,1,1
Other,2,164000,United States,1,2023,1,1
Data Scientist,2,175000,United States,1,2023,1,1
Data Scientist,2,125000,United States,1,2023,1,0
Data Engineer,2,194595,United States,1,2023,1,1
Data Engineer,2,158000,United States,1,2023,1,1
Data Engineer,2,240500,United States,2,2023,1,1
Data Engineer,2,123700,United States,2,2023,1,0
Data Scientist,2,212800,United States,2,2023,1,1
Data Scientist,2,111600,United States,2,2023,1,0
Other,1,257400,United States,1,2023,1,1
Other,1,193500,United States,1,2023,1,1
Other,2,305000,United States,1,2023,1,1
Other,2,245000,United States,1,2023,1,1
Data Scientist,2,205485,United States,1,2023,1,1
Data Scientist,2,156560,United States,1,2023,1,1
Data Analyst,2,168000,United States,2,2023,1,1
Data Analyst,2,78400,United States,2,2023,0,0
Machine Learning Engineer,2,260000,United States,1,2023,1,1
Machine Learning Engineer,2,175000,United States,1,2023,1,1
Data Engineer,3,130002,United States,1,2023,1,0
Data Engineer,3,71908,United States,1,2023,0,0
Data Analyst,2,212000,United States,1,2023,1,1
Data Analyst,2,132000,United States,1,2023,1,0
Data Analyst,1,177000,United States,1,2023,1,1
Data Analyst,1,110000,United States,1,2023,1,0
Data Scientist,2,164000,United States,1,2023,1,1
Research Scientist,2,248100,United States,1,2023,1,1
Research Scientist,2,145900,United States,1,2023,1,0
Data Analyst,2,148000,United States,1,2023,1,0
Data Analyst,2,92000,United States,1,2023,0,0
Other,2,248100,United States,1,2023,1,1
Other,2,145900,United States,1,2023,1,0
Other,2,155000,United States,1,2023,1,1
Other,2,38000,United States,1,2023,0,0
Machine Learning Engineer,2,218000,United States,1,2023,1,1
Machine Learning Engineer,2,115000,United States,1,2023,1,0
Other,2,104000,United States,1,2023,1,0
Other,2,86000,United States,1,2023,0,0
Analytics Engineer,2,235400,United States,1,2023,1,1
Analytics Engineer,2,108320,United States,1,2023,1,0
Other,2,95000,United States,1,2023,0,0
Other,2,82000,United States,1,2023,0,0
Data Engineer,2,152375,United States,1,2023,1,1
Data Engineer,2,94000,United States,1,2023,0,0
Data Analyst,2,115934,United States,1,2023,1,0
Data Analyst,2,81666,United States,1,2023,0,0
Data Analyst,1,79000,United States,1,2023,0,0
Research Scientist,2,273400,United States,1,2023,1,1
Research Scientist,2,182200,United States,1,2023,1,1
Data Analyst,1,160000,United States,1,2023,1,1
Data Analyst,1,112000,United States,1,2023,1,0
Data Scientist,2,285000,United States,1,2023,1,1
Data Scientist,2,154000,United States,1,2023,1,1
Other,2,220000,United States,1,2023,1,1
Other,2,170000,United States,1,2023,1,1
Data Engineer,3,174500,United States,1,2023,1,1
Data Engineer,3,113000,United States,1,2023,1,0
Data Engineer,2,225000,United States,1,2023,1,1
Data Engineer,2,125000,United States,1,2023,1,0
Data Engineer,1,200000,United States,1,2023,1,1
Data Engineer,1,180000,United States,1,2023,1,1
Other,1,250000,United States,1,2023,1,1
Other,1,125000,United States,1,2023,1,0
Data Analyst,1,90000,United States,1,2023,0,0
Research Scientist,1,275000,United States,1,2023,1,1
Research Scientist,1,200000,United States,1,2023,1,1
Data Analyst,1,80000,United States,1,2023,0,0
Data Analyst,2,115000,United States,1,2023,1,0
Data Analyst,2,75000,United States,1,2023,0,0
Data Analyst,2,138860,United States,1,2023,1,0
Data Analyst,2,122720,United States,1,2023,1,0
Data Engineer,2,231500,United States,1,2023,1,1
Data Engineer,2,118000,United States,1,2023,1,0
Data Scientist,3,299500,United States,1,2023,1,1
Data Scientist,3,249600,United States,1,2023,1,1
Other,2,185000,United States,2,2023,1,1
Other,2,79600,United States,2,2023,0,0
Data Engineer,1,120000,United States,1,2023,1,0
Data Engineer,1,110000,United States,1,2023,1,0
Data Analyst,1,100000,United States,1,2023,1,0
Data Analyst,1,75000,United States,1,2023,0,0
Machine Learning Engineer,2,297000,United States,1,2023,1,1
Machine Learning Engineer,2,138000,United States,1,2023,1,0
Data Scientist,1,135000,United States,1,2023,1,0
Data Scientist,1,105000,United States,1,2023,1,0
Data Scientist,2,267100,United States,1,2023,1,1
Data Scientist,2,167200,United States,1,2023,1,1
Data Scientist,2,202000,United States,1,2023,1,1
Data Engineer,2,174350,United States,1,2023,1,1
Data Engineer,2,126800,United States,1,2023,1,0
Data Architect,2,188500,United States,1,2023,1,1
Data Architect,2,117000,United States,1,2023,1,0
Data Scientist,2,150931,United States,1,2023,1,1
Data Scientist,2,143250,United States,1,2023,1,0
Other,2,330000,United States,1,2023,1,1
Other,2,204000,United States,1,2023,1,1
Data Engineer,2,200000,United States,1,2023,1,1
Data Engineer,2,160000,United States,1,2023,1,1
Data Engineer,2,205600,United States,2,2023,1,1
Data Engineer,2,105700,United States,2,2023,1,0
Machine Learning Engineer,2,324000,United States,1,2023,1,1
Machine Learning Engineer,2,159000,United States,1,2023,1,1
Data Engineer,2,231000,United States,1,2023,1,1
Data Engineer,2,157250,United States,1,2023,1,1
Other,2,240000,United States,1,2023,1,1
Other,2,157250,United States,1,2023,1,1
Data Engineer,2,232000,United States,1,2023,1,1
Data Engineer,2,108000,United States,1,2023,1,0
Data Scientist,2,180000,United States,1,2023,1,1
Data Scientist,2,135000,United States,1,2023,1,0
Data Engineer,2,209000,United States,1,2023,1,1
Data Engineer,2,135000,United States,1,2023,1,0
Data Scientist,2,184250,United States,1,2023,1,1
Data Scientist,2,167500,United States,1,2023,1,1
Data Engineer,2,95000,United States,1,2023,0,0
Data Engineer,2,85000,United States,1,2023,0,0
Data Scientist,1,230000,United States,1,2023,1,1
Data Scientist,1,175000,United States,1,2023,1,1
Data Analyst,2,154440,United States,1,2023,1,1
Data Analyst,2,68550,United States,1,2023,0,0
Data Analyst,0,90000,United States,1,2023,0,0
Data Analyst,0,60000,United States,1,2023,0,0
Data Engineer,2,226600,United States,1,2023,1,1
Data Engineer,2,140100,United States,1,2023,1,0
Other,2,171050,United States,1,2023,1,1
Other,2,124400,United States,1,2023,1,0
Machine Learning Engineer,2,226600,United States,1,2023,1,1
Machine Learning Engineer,2,140100,United States,1,2023,1,0
Data Scientist,2,136000,United States,1,2023,1,0
Data Scientist,2,104000,United States,1,2023,1,0
Data Architect,2,80000,United States,1,2023,0,0
Data Architect,2,52500,United States,1,2023,0,0
Data Engineer,2,115000,United States,1,2023,1,0
Other,2,253000,United States,1,2023,1,1
Other,2,156400,United States,1,2023,1,1
Machine Learning Engineer,2,300000,United States,1,2023,1,1
Machine Learning Engineer,2,235000,United States,1,2023,1,1
Data Analyst,2,223100,United States,2,2023,1,1
Data Analyst,2,114700,United States,2,2023,1,0
Data Analyst,2,95000,United States,1,2023,0,0
Data Analyst,2,70000,United States,1,2023,0,0
Data Scientist,2,120000,United States,1,2023,1,0
Data Engineer,1,152375,United States,1,2023,1,1
Data Engineer,1,94000,United States,1,2023,0,0
Data Analyst,2,134000,United States,1,2023,1,0
Data Analyst,2,120000,United States,1,2023,1,0
Data Engineer,2,258750,United States,1,2023,1,1
Data Engineer,2,172500,United States,1,2023,1,1
Machine Learning Engineer,2,254000,United States,1,2023,1,1
Machine Learning Engineer,2,200000,United States,1,2023,1,1
Other,2,230000,United States,1,2023,1,1
Other,2,196000,United States,1,2023,1,1
Other,1,128000,United States,1,2023,1,0
Other,1,81500,United States,1,2023,0,0
Data Engineer,3,220000,United States,1,2023,1,1
Data Engineer,3,150000,United States,1,2023,1,1
Data Engineer,2,155000,United States,1,2023,1,1
Data Engineer,2,109528,United States,1,2023,1,0
Machine Learning Engineer,2,269500,United States,1,2023,1,1
Machine Learning Engineer,2,166600,United States,1,2023,1,1
Other,2,160000,United States,2,2023,1,1
Data Analyst,2,93919,United States,1,2023,0,0
Data Analyst,2,51962,United States,1,2023,0,0
Data Architect,2,180000,United States,1,2023,1,1
Data Architect,2,115000,United States,1,2023,1,0
Data Analyst,2,186600,United States,1,2023,1,1
Data Analyst,2,119800,United States,1,2023,1,0
