Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Data Engineer,2,210000,0,1,2023
Data Engineer,2,165000,0,1,2023
Data Engineer,2,185900,0,1,2023
Data Engineer,2,129300,0,1,2023
Data Scientist,2,140000,0,1,2023
Data Scientist,2,126000,0,1,2023
Data Scientist,2,170000,0,1,2023
Data Scientist,2,130000,0,1,2023
Analytics Engineer,2,208500,0,1,2023
Analytics Engineer,2,165000,0,1,2023
Other,2,169000,0,1,2023
Other,2,110600,0,1,2023
Data Scientist,2,185900,0,1,2023
Data Scientist,2,129300,0,1,2023
Data Scientist,2,225000,0,1,2023
Data Scientist,2,156400,0,1,2023
Machine Learning Engineer,2,309000,0,1,2023
Machine Learning Engineer,2,142000,0,1,2023
Data Analyst,2,204500,0,1,2023
Data Analyst,2,138900,0,1,2023
Machine Learning Engineer,2,323300,0,1,2023
Machine Learning Engineer,2,184700,0,1,2023
Machine Learning Engineer,2,247500,0,1,2023
Machine Learning Engineer,2,172200,0,1,2023
Other,2,204500,0,1,2023
Other,2,142200,0,1,2023
Other,2,135000,0,1,2023
Other,2,110000,0,1,2023
Other,2,118800,0,1,2023
Other,2,75000,0,1,2023
Other,2,145000,0,1,2023
Other,2,130000,0,1,2023
Machine Learning Engineer,2,193600,0,1,2023
Machine Learning Engineer,2,119700,0,1,2023
Other,2,130800,0,1,2023
Other,2,87200,0,1,2023
Data Engineer,2,215000,0,1,2023
Data Engineer,2,150000,0,1,2023
Other,3,247500,0,1,2023
Other,3,172200,0,1,2023
Machine Learning Engineer,2,204500,0,1,2023
Machine Learning Engineer,2,142200,0,1,2023
Data Analyst,2,169000,0,1,2023
Data Analyst,2,110600,0,1,2023
ML Engineer,2,238000,0,1,2023
ML Engineer,2,173000,0,1,2023
Other,2,225000,0,1,2023
Other,2,156400,0,1,2023
Data Science Manager,2,299500,0,1,2023
Data Science Manager,2,245100,0,1,2023
Data Scientist,2,153600,0,1,2023
Data Scientist,2,106800,0,1,2023
Data Scientist,1,125000,0,1,2023
Data Scientist,1,90000,0,1,2023
ML Engineer,2,290000,0,1,2023
ML Engineer,2,226000,0,1,2023
Applied Scientist,2,222200,0,2,2023
Applied Scientist,2,136000,0,2,2023
Data Scientist,2,161000,0,1,2023
Data Scientist,2,151000,0,1,2023
Data Engineer,2,136994,0,1,2023
Data Engineer,2,101570,0,1,2023
Data Scientist,2,214500,0,1,2023
Data Scientist,2,150000,0,1,2023
Analytics Engineer,2,150000,0,1,2023
Analytics Engineer,2,120000,0,1,2023
Data Engineer,2,278300,0,1,2023
Data Engineer,2,205700,0,1,2023
Applied Scientist,2,185900,0,1,2023
Applied Scientist,2,167310,0,1,2023
Data Engineer,1,114000,0,1,2023
Data Engineer,1,100000,0,1,2023
Applied Scientist,2,260000,0,2,2023
Data Engineer,2,162000,0,1,2023
Data Engineer,2,111000,0,1,2023
Data Engineer,2,225500,0,1,2023
Data Engineer,2,139400,0,1,2023
Other,1,177000,0,1,2023
Other,1,110000,0,1,2023
Data Analyst,2,120350,0,1,2023
Data Analyst,2,74400,0,1,2023
Data Engineer,2,194000,0,1,2023
Data Engineer,2,161000,0,1,2023
Machine Learning Engineer,2,184950,0,1,2023
Machine Learning Engineer,2,119250,0,1,2023
Data Engineer,2,178500,0,1,2023
Data Engineer,2,136000,0,1,2023
Machine Learning Engineer,2,189000,0,1,2023
Machine Learning Engineer,2,159090,0,1,2023
Data Engineer,1,91000,0,1,2023
Data Engineer,1,82000,0,1,2023
Data Engineer,2,149076,0,1,2023
Data Engineer,2,82365,0,1,2023
Applied Scientist,2,192000,0,1,2023
Applied Scientist,2,164000,0,1,2023
Data Scientist,2,175000,0,1,2023
Data Scientist,2,125000,0,1,2023
Data Engineer,2,194595,0,1,2023
Data Engineer,2,158000,0,1,2023
Data Engineer,2,240500,0,2,2023
Data Engineer,2,123700,0,2,2023
Data Scientist,2,212800,0,2,2023
Data Scientist,2,111600,0,2,2023
Research Engineer,1,257400,0,1,2023
Research Engineer,1,193500,0,1,2023
ML Engineer,2,305000,0,1,2023
ML Engineer,2,245000,0,1,2023
Data Scientist,2,205485,0,1,2023
Data Scientist,2,156560,0,1,2023
Data Analyst,2,168000,0,2,2023
Data Analyst,2,78400,0,2,2023
Machine Learning Engineer,2,260000,0,1,2023
Machine Learning Engineer,2,175000,0,1,2023
